,Field,Final Value,Rules layer read,AI layer read
0,1. Tender Name,Custom Bid for Services - 200155534 Solapur AUD - Statutory audit of ash disposal for FY25-26,GEM/2026/B/7920051 - 103392745,Custom Bid for Services - 200155534 Solapur AUD - Statutory audit of ash disposal for FY25-26
1,2. Location / Address,"1045-Solapur STPP, Solapur STPP, AT-FATATEWADI, PO-HOTGI STATION, SOUTH SOLAPUR, SOLAPUR, Maharashtra-413215","1045-Solapur STPP, Solapur STPP, AT-FATATEWADI, PO-HOTGI STATION, SOUTH SOLAPUR, SOLAPUR, Maharashtra-413215","1045-Solapur STPP, Solapur STPP, AT-FATATEWADI, PO-HOTGI STATION, SOUTH SOLAPUR, SOLAPUR, Maharashtra-413215"
2,3. Purpose / Audit Type,"Statutory audit of ash disposal for FY25-26 at site, preparation and submission of report to CPCB and other concerned authorities with a copy to NTPC Solapur in line with the CPCB SOP/Guidelines etc in this regard.",Statutory audit of ash disposal,"Statutory audit of ash disposal for FY25-26 at site, preparation and submission of report to CPCB and other concerned authorities with a copy to NTPC Solapur in line with the CPCB SOP/Guidelines etc in this regard."
3,4. Period,1 Month,1 Month(s),1 Month
4,5. Tender Estimated Cost,"Rs. 145,600","Rs. 145,600  [as written: 145600.0]","Rs. 145,600"
5,6. Assignment Fees,NOT FOUND,,NOT FOUND
6,7. Eligibility Criteria,"Eligibility Criteria
1. Minimum average annual turnover required: 51 Lakhs (Rs. Fifty one Lakh only) or equivalent foreign currency.
2. OEM turnover requirement: NA
3. Financial years for Preceding three (3) financial years. The specific years are 2021-2022, 2020-2021, and 2019-2020.
4. Documents required to prove turnover: Audited financial statements for the last 3 financial years. If audited results for the last preceding financial year are not available, a certification of financial statement from a practicing chartered accountant. Certificate from the CEO/CFO of the Holding Company stating that the unaudited unconsolidated financial statements form part of the consolidated financial statements of the Holding Company, is enclosed as per the format at Appendix-A to Attachment 3A2.
5. Experience required (years and type): The bidder must be a LOCAL SUPPLIER. Specific years of experience are not explicitly mentioned, but past experience related to the scope of work is required as per Attachment 3 and 4. For MSEs, the experience requirement is also subject to ""Udyam Registration"" and ""Major Activity"" not being ""TRADING"".
6. Past performance / similar work experience: Details of past experience, such as authentic Work Orders/ Purchase Orders/ Letter of Awards/ Contract Agreements, and client certificates, completion certificate, etc., are required. Bidder is not permitted to quote more than 3 (three) times the reference documents like Work Orders/Purchase Orders/Letter of Awar","Eligibility Criteria
Sub-Question
Answer
1. Minimum
average annual
turnover
required:
51 Lakhs (Rs. Fifty one Lakh only) or equivalent foreign currency.
2. OEM turnover
requirement:
NA
3. Financial
years for
Preceding three (3) financial years. The specific years are 2021-2022, 2020-
2021, and 2019-2020.
turnover
consideration:
4. Documents
required to
prove turnover:
Audited financial statements for the last 3 financial years.
If audited results for the last preceding financial year are not available,
a certification of financial statement from a practicing chartered
accountant.
Certificate from the CEO/CFO of the Holding Company stating that the
unaudited unconsolidated financial statements form part of the
consolidated financial statements of the Holding Company, is enclosed
as per the format at Appendix-A to Attachment 3A2.
5. Experience
required (years
and type):
The bidder must be a LOCAL SUPPLIER. Specific years of experience are
not explicitly mentioned, but past experience related to the scope of work is
required as per Attachment 3 and 4. For MSEs, the experience requirement is
also subject to ""Udyam Registration"" and ""Major Activity"" not being
""TRADING"".
6. Past
performance /
similar work
experience:
Details of past experience, such as authentic Work Orders/ Purchase
Orders/ Letter of Awards/ Contract Agreements, and client certificates,
completion certificate, etc., are required.
Bidder is not permitted to quote more than 3 (three) times the reference
documents li","Eligibility Criteria
1. Minimum average annual turnover required: 51 Lakhs (Rs. Fifty one Lakh only) or equivalent foreign currency.
2. OEM turnover requirement: NA
3. Financial years for Preceding three (3) financial years. The specific years are 2021-2022, 2020-2021, and 2019-2020.
4. Documents required to prove turnover: Audited financial statements for the last 3 financial years. If audited results for the last preceding financial year are not available, a certification of financial statement from a practicing chartered accountant. Certificate from the CEO/CFO of the Holding Company stating that the unaudited unconsolidated financial statements form part of the consolidated financial statements of the Holding Company, is enclosed as per the format at Appendix-A to Attachment 3A2.
5. Experience required (years and type): The bidder must be a LOCAL SUPPLIER. Specific years of experience are not explicitly mentioned, but past experience related to the scope of work is required as per Attachment 3 and 4. For MSEs, the experience requirement is also subject to ""Udyam Registration"" and ""Major Activity"" not being ""TRADING"".
6. Past performance / similar work experience: Details of past experience, such as authentic Work Orders/ Purchase Orders/ Letter of Awards/ Contract Agreements, and client certificates, completion certificate, etc., are required. Bidder is not permitted to quote more than 3 (three) times the reference documents like Work Orders/Purchase Orders/Letter of Awar"
7,8. Scope of Work,"Statutory audit of ash disposal for FY25-26. The bidder has to submit their offer inclusive of GST. The Service Provider hereby undertakes not to charge any money/fees/deductions in whatever manner, name, or form, or take any monetary/non-monetary considerations, or make any unlawful deductions from the compensation/salary of the manpower/employees/resources engaged by it and, to be deployed at the Buyer's site. The Service Provider further agrees that it will not indulge in any unethical practices and acknowledges that any non-compliance of the aforesaid undertaking will be treated as a material breach of the Contract, in which case the Buyer and GeM shall have the right to take appropriate independent actions including termination of the Contract and actions as per GeM Incident Management Policy.","Statutory audit of ash disposal for FY25-26 at site, preparation and submission of report
to CPCB and other concerned authorities with a copy to NTPC Solapur in line with the
CPCB SOP/Guidelines etc in this regard.

3
Technical Requirement/Terms & Conditions

Audit shall be carried out as per the Ministry of Environment, Forest and Climate
Change Notification, S.O. 5481(E), Dtd: 31st December 2021 and its subsequent
amendments issued by ministry from time to time.

The work involves the following:.
i.
Verification of ash generation data pertaining to the financial year based on
inspection of records of coal receipt/consumption and average ash content
in coal, and comparison of this data with the information provided by the
power plant in the annual compliance report.

ii.
Verification of fly ash and bottom ash utilization data pertaining to the
financial year based on inspection of records of ash supplied to the user
agencies covered under permitted uses/avenues, and comparison of this
data with the information provided by the power plant in the annual
compliance report.

iii.
Verification of the ash disposal into ash ponds data pertaining to the
financial year (i.e. difference of ash generation and ash utilization, as above),
and comparison of this data with the information provided by the power
plant in the annual compliance report.

iv.
Assessment of total ash storage in operational and un-operation ash ponds
and available storage capacity for further disposal at the end o","Statutory audit of ash disposal for FY25-26. The bidder has to submit their offer inclusive of GST. The Service Provider hereby undertakes not to charge any money/fees/deductions in whatever manner, name, or form, or take any monetary/non-monetary considerations, or make any unlawful deductions from the compensation/salary of the manpower/employees/resources engaged by it and, to be deployed at the Buyer's site. The Service Provider further agrees that it will not indulge in any unethical practices and acknowledges that any non-compliance of the aforesaid undertaking will be treated as a material breach of the Contract, in which case the Buyer and GeM shall have the right to take appropriate independent actions including termination of the Contract and actions as per GeM Incident Management Policy."
8,9. Penalty,"The Bid Security may be forfeited a. If the Bidder withdraws or varies its Bid during the period of Bid validity; b. If the Bidder does not accept the correction of its Bid Price pursuant to ITB Sub-Clause for Arithmetical Correction. c. If the Bidder refuses to withdraw, without any cost to the Employer, any deviation, variation, additional condition or any other mention anywhere in the bid (Price bid in case of Two Stage Bid), contrary to the provisions of bidding documents; d. In the case of a successful Bidder, if the Bidder fails within the specified time limit to furnish the required Contract Performance Guarantee/Security Deposit in accordance with relevant clause of ITB. e. If the bidder/his representatives commits any fraud while competing for this contract pursuant to Fraud Prevention Policy of NTPC. f. In case the Bidder/Contractor is disqualified from bidding process in terms of Section 3 and 4 of Integrity Pact (IF APPLICABLE). g. Any suppression of material fact or false declaration regarding Insolvency, bankruptcy and Liquidation proceeding against Bidder, Associate, Collaborator or Technology Provider","GCC clause-25.5.1
As per GCC
60. ITB Clause 4.0
i. Bidder is advised to visit, inspect and examine the site(s) where the works are to
be executed and its surroundings and obtain for itself on its own responsibility all
information that may be necessary for preparing the bid and satisfy themselves
before submitting their tenders as to the nature of the ground and sub-soil (so far
as is practicable), the form and nature of the site, the means of access to the site,
the accommodation they may require and in general, shall themselves obtain all
necessary information as to risks, contingencies and other circumstances which
may influence or effect their tender.

A Bidder shall be deemed to have full knowledge of the site, whether he inspects
it or not and no extra charges consequent on any misunderstanding or otherwise
shall be allowed. The costs of visiting the site shall be borne by the bidder fully.

61.
ii. Local Conditions:

a) It will be imperative on each Bidder to fully inform himself of all local
conditions and factors which may have any effect on the execution of the
works covered under these documents & specifications and to take the same
into account while submitting his bid.

b) Successful bidder shall make all effort and cooperate with the EIC in
maintaining cordial, harmonious and conducive environment and industrial
relations with respect to and connected to this work, so that smooth and
effective execution of the work is achieved.

c) Keeping the above in view, the","The Bid Security may be forfeited a. If the Bidder withdraws or varies its Bid during the period of Bid validity; b. If the Bidder does not accept the correction of its Bid Price pursuant to ITB Sub-Clause for Arithmetical Correction. c. If the Bidder refuses to withdraw, without any cost to the Employer, any deviation, variation, additional condition or any other mention anywhere in the bid (Price bid in case of Two Stage Bid), contrary to the provisions of bidding documents; d. In the case of a successful Bidder, if the Bidder fails within the specified time limit to furnish the required Contract Performance Guarantee/Security Deposit in accordance with relevant clause of ITB. e. If the bidder/his representatives commits any fraud while competing for this contract pursuant to Fraud Prevention Policy of NTPC. f. In case the Bidder/Contractor is disqualified from bidding process in terms of Section 3 and 4 of Integrity Pact (IF APPLICABLE). g. Any suppression of material fact or false declaration regarding Insolvency, bankruptcy and Liquidation proceeding against Bidder, Associate, Collaborator or Technology Provider"
9,10. Tender EMD,Not Applicable,Not Applicable / Nil (as stated),Not Applicable
